feature,coef
financially,-0.08944149901967875
basis,-0.0893032354101097
city baghdad,-0.08917627225287834
high,-0.08913082134870841
interview applicant state,-0.08910888574935563
sentence,-0.08878363025407206
13,-0.08871869573969766
husband work,-0.08823871854207854
pakistan military,-0.08822297915142432
country applicant,-0.08809201398473784
gamble,-0.08797428274689283
expression,-0.08780420784645399
monthly basis,-0.0877482096000526
applicant attribute,-0.08770497462010575
sister,-0.08767068362682895
travel iraq,-0.08761381193705044
sor,-0.08757424506413683
applicant report,-0.08743875228245009
obtain,-0.08733899387070863
political asylum,-0.08717789262857423
admission incorporate,-0.08712005081666943
1985,-0.08710564658518102
accord,-0.08697368555521123
hometown,-0.08692979802523022
40 applicant,-0.08691582389700206
account unite,-0.08671553401019771
marry native,-0.086634803934093
applicant marry native,-0.086634803934093
administrative notice,-0.086467955103067
applicant borrow,-0.08642941787961404
worth approximately,-0.08642515476322311
citizen resident jordan,-0.08636081546220728
applicant use,-0.0861895165379716
admit allegation,-0.08615557428493306
72,-0.08577597598238329
flight,-0.08576613534448309
2011,-0.08566274018478792
affiliate,-0.08541678270797554
continue contact,-0.08514818568403065
france,-0.08507759622147074
faith,-0.08505089844002725
explained,-0.08483363976262323
agriculture,-0.08479795526081757
answer applicant admit,-0.08477679363383622
afghan,-0.08472003910931344
year old married,-0.08471182526413414
old married,-0.08471182526413414
women,-0.0846835465734873
remain china,-0.08447755640479845
account applicant,-0.08447015687994437
security clearance application,-0.084446236696719
applicant tell investigator,-0.08441749664852247
hearing,-0.08431245419843961
pleading exhibit,-0.08429918443932877
review pleading exhibit,-0.08429918443932877
pleading exhibit submitted,-0.08429918443932877
foreign terrorist,-0.08424204566551129
note tr page,-0.08405084653078881
note tr,-0.08405084653078881
expenses,-0.08389738759529804
friend citizen,-0.0838622476714615
applicant visit china,-0.08382805388737424
interrogatories,-0.08378629065813983
killings,-0.08378599830062967
nigeria applicant,-0.08370352510233042
close continue contact,-0.08365527157886554
transfer money,-0.08355246361351541
fourth,-0.0835087472322139
resident russia,-0.08348575895342707
applicant renew iraqi,-0.0833152436720226
renew iraqi,-0.0833152436720226
threat national,-0.08319106567129879
soviet union,-0.08310378371144517
incorporate,-0.0830184764170223
000 tr page,-0.08273348921531563
sister year,-0.08263947992736569
april 2012,-0.08259741915767012
human right issue,-0.0825634118538397
account,-0.08251356921127505
bank account,-0.08238319365623835
access sensitive information,-0.08234922094526628
assess,-0.08232791348596764
clearance application,-0.0822119241220624
reside,-0.08217402821655499
assad,-0.08215726519590044
peaceful,-0.08211724562559529
citizen resident afghanistan,-0.08211381286101206
resident afghanistan,-0.08211381286101206
maintain bank,-0.08209665821464109
maintain bank account,-0.08209665821464109
low,-0.08188217575863481
credibility,-0.0818766939826348
applicant visit iraq,-0.08182371635510585
chinese military,-0.08171580742369254
clearance application sca,-0.08150920607263862
50 000,-0.08130311755890993
