feature,coef
july 2018 applicant,-0.020549821503973352
applicant select,-0.02054815634915341
files,-0.02051266222766803
view similar,-0.020497411559522078
line 17,-0.02047620605073014
page line 17,-0.02047620605073014
applicant serve marine,-0.02047620605073014
appx page,-0.020383944596608094
line applicant aver,-0.020383944596608094
averment,-0.020383944596608094
use applicant,-0.020379114253090334
illegal content,-0.02037168864672118
pend,-0.020340041495421703
stream view,-0.020326822154596292
inprivate,-0.020326822154596292
option resign,-0.020326822154596292
pornographic video image,-0.020326822154596292
video image,-0.020326822154596292
applicant tell supervisor,-0.020308545725398176
tell supervisor,-0.020308545725398176
stop,-0.02029982162887508
building,-0.020261659979753287
78,-0.02022247831972572
security clearance eligibility,-0.020206438652981825
thing,-0.020157890699041156
home computer,-0.020155022956448557
unauthorize,-0.02013997744608949
remotely,-0.02011713146517064
applicant file,-0.020092512442404023
company tr,-0.02009130878667893
expectations,-0.020043462974753144
applicant misconduct,-0.020043462974753144
primary,-0.020012516149843167
tr 38,-0.019982066568514013
reveal applicant,-0.019977882240678327
30,-0.019933228202134116
view child,-0.01989883821275172
harassment,-0.019876112948893444
misuse government,-0.019814032103351125
government computer tr,-0.019814032103351125
misuse government computer,-0.019814032103351125
joint,-0.019785623852952548
answer sor applicant,-0.01977255673773124
purchase,-0.01973361041965732
project,-0.019731583132785994
intend,-0.019713305227976412
employer company,-0.01964260739437408
response applicant,-0.01963884800563145
court,-0.019633902440790288
fact applicant year,-0.01962494699886099
occur applicant,-0.019609341458614166
regarde,-0.019558231414764832
admission,-0.019534630961873585
company policy applicant,-0.019517182648957004
approval,-0.019511357622539985
client information,-0.019506418771628356
company investigator,-0.01947591419119262
psi,-0.019470375254470994
disclose applicant,-0.019460241641629197
history,-0.019451320646137776
personal usb,-0.019437128928952056
applicant attempt,-0.019431436758360905
advise,-0.01940292483547164
company ehd,-0.019364669476961492
view pornography work,-0.01934302422539718
married,-0.019342629218691763
2003,-0.01933900686871634
detect,-0.01933649844414118
applicant response sor,-0.019335477960089414
41,-0.01933522561543888
load,-0.019308719207306785
address,-0.019264839643125302
sor tr,-0.01924701848963428
award,-0.019218027019000227
adopt,-0.019211778126187247
review,-0.019208622157072277
sites,-0.019207304503500368
navy,-0.019196055903998945
label,-0.019126840459926096
continue,-0.019122974226853377
use company laptop,-0.019105516104588216
master,-0.019093970940650986
applicant copy file,-0.019048401526318228
transition,-0.019048401526318228
make thing,-0.019045073672197144
illicit,-0.019045073672197144
applicant archive,-0.019045073672197144
archive card,-0.019045073672197144
party software,-0.019045073672197144
access software,-0.019045073672197144
client applicant,-0.019045073672197144
vice president,-0.019009689960701986
fact,-0.019003968040081518
link,-0.01899690061323351
personal file,-0.018987934249233073
access password,-0.01896486036408364
18,-0.018958765226809032
company information,-0.018920901906151557
applicant install,-0.018914033205724882
contractor august,-0.018889555300514747
administrative leave,-0.01888038536708521
guideline applicant,-0.018823903443496513
remote,-0.018779612767940195
pornography work computer,-0.01875415289188205
systems applicant,-0.018751015602065053
past,-0.018724225637554125
17 applicant,-0.018711741863739893
annual,-0.018704976381806338
child support arrearages,-0.01870256494773504
applicant deny owe,-0.01870256494773504
28 30,-0.01870256494773504
tr 28 30,-0.01870256494773504
deny owe,-0.01870256494773504
000 arrearages,-0.01870256494773504
applicant admit owe,-0.01870256494773504
large debts,-0.01870256494773504
44 applicant response,-0.01870256494773504
022,-0.01870256494773504
applicant permit use,-0.01870256494773504
permit use,-0.01870256494773504
212,-0.01870256494773504
admit owe,-0.01870256494773504
arrearages applicant,-0.01870256494773504
212 utility,-0.01870256494773504
large debts applicant,-0.01870256494773504
2022 credit,-0.01870256494773504
support arrearages,-0.01870256494773504
2022 credit report,-0.01870256494773504
utility debt,-0.01870256494773504
tr 64,-0.01870209924029053
item 16,-0.01867748408878192
applicant explain applicant,-0.018637922282350665
response form,-0.018637077414691477
item applicant,-0.018630861914682342
realize,-0.01861767407647438
hack equipment,-0.018613871116233804
wifi card,-0.018613871116233804
2019 interview applicant,-0.018613871116233804
defcon,-0.018613871116233804
guest,-0.018613871116233804
shoulder,-0.018613871116233804
112 tr,-0.018586260818302933
tr 36 77,-0.018586260818302933
105 112 tr,-0.018586260818302933
36 77 90,-0.018586260818302933
36 77,-0.018586260818302933
material applicant,-0.018574623363868812
sign statement,-0.01857032185213758
company proprietary information,-0.018494239706527554
wend,-0.018486605330433836
status,-0.018483911130730363
past applicant,-0.018336471116782074
cell,-0.018325979963047485
cell phone,-0.018325979963047485
violate employer,-0.018302161310752987
dropbox account,-0.018298400946194133
porn,-0.018298400946194133
owner,-0.018298400946194133
relate file transfer,-0.0182800385462984
relate file,-0.0182800385462984
spring,-0.0182800385462984
spring 2019,-0.0182800385462984
layoff,-0.018274742040480522
notify applicant select,-0.018274742040480522
copy 661,-0.018274742040480522
information including,-0.018274742040480522
misleading,-0.018274742040480522
personal thumb drive,-0.018274742040480522
applicant lay 2013,-0.018274742040480522
government investigator misleading,-0.018274742040480522
investigator misleading,-0.018274742040480522
remember applicant,-0.018274742040480522
claime applicant copy,-0.018274742040480522
select layoff,-0.018274742040480522
661 file,-0.018274742040480522
applicant select layoff,-0.018274742040480522
lay 2013,-0.018274742040480522
2007,-0.018247355304216624
masturbate,-0.018211814264770313
ge company,-0.0181053520883416
march 2016,-0.018051217076570782
payments,-0.01803426874123152
2004,-0.0180119691212888
2014 applicant,-0.017960648049498353
applicant response,-0.01795916037832543
thought,-0.01795327045194237
evidence case,-0.017952341550277424
recent,-0.017940796585502617
recently,-0.017917976508736156
suggest applicant,-0.01790128801406925
screen,-0.017886971835762634
return tax,-0.017859563651138603
video game,-0.017859563651138603
item 17,-0.017859563651138603
return tax year,-0.017859563651138603
tax return tax,-0.017859563651138603
sor applicant illegally,-0.017859563651138603
july,-0.017854168039532888
poor judgment,-0.01782605717916282
mislead,-0.017778137515745814
february 2015 applicant,-0.017743803032033195
issue computer view,-0.017734737079650127
suffer,-0.017733936579825003
unlikely,-0.017733936579825003
applicant suffer,-0.017733936579825003
applicant clean,-0.017706322626030332
mitigation applicant,-0.01767333133381631
2006,-0.017659080263005642
company laptop view,-0.01758141074618858
employer network,-0.017566011611061243
step,-0.017562665948100162
financial,-0.017503285675249117
64,-0.017498660129256362
allege guideline,-0.01748845086742927
stepson,-0.017457545252569272
hacker,-0.017449500416231885
2018 applicant use,-0.017424049792332034
april 2016,-0.017326792362388193
witness testify,-0.0173035068466254
witness testify applicant,-0.0173035068466254
use personal usb,-0.017280788494881193
applicant work defense,-0.01725836482808587
26 applicant,-0.017255101208537783
fact applicant,-0.017197439434805745
employment record,-0.01717479176405832
view child pornography,-0.017149291558731683
sentence,-0.01714820645819235
explanations,-0.017080930878803406
manager defense contractor,-0.0170245674123999
manager defense,-0.0170245674123999
behavior guideline,-0.016891723519673666
sexual behavior guideline,-0.016891723519673666
applicant introduce,-0.01688731317951203
pandemic,-0.016873808414678663
applicant thought,-0.016864640705239256
applicant june 2014,-0.01683197838386782
interviewer,-0.01683197838386782
section applicant june,-0.01683197838386782
derogatory information,-0.01683197838386782
authorize investigator,-0.01683197838386782
image work laptop,-0.01683197838386782
image work,-0.01683197838386782
derogatory,-0.01683197838386782
tr 45 applicant,-0.01683197838386782
laptop computer applicant,-0.01683197838386782
laptop computer tr,-0.01683197838386782
clearance interviewer,-0.01683197838386782
2015 tr,-0.01683197838386782
applicant create,-0.0168113916401134
applicant understand,-0.016799506775582493
download pornography,-0.016797631686298026
subsequently applicant,-0.016797416018756076
monday,-0.01676227103702097
videos,-0.016723172635136587
subject,-0.01672122631568417
increase,-0.01672091955420357
understand,-0.01671116124455241
complete security,-0.01670978827703727
applicant complete security,-0.01670978827703727
complete security clearance,-0.01670978827703727
download file,-0.016708874688348457
unless,-0.016612046095422522
present applicant,-0.016607042440947746
general counsel,-0.016598288123109855
generally,-0.016587919700314386
intellectual,-0.016580227428462043
tr 57,-0.01657084683641355
try,-0.016506616221764945
government contract,-0.016501965211901053
investigator interview,-0.016501251429881073
way,-0.016488587751677927
2017 applicant work,-0.016484109778195748
applicant computer,-0.016456297721024103
finding fact applicant,-0.01645423094852482
fact allege,-0.01643067174154405
laptop applicant,-0.016397235479232244
tr 12,-0.01638594010261832
contract company,-0.016382002705779396
applicant like,-0.016342173151213127
police,-0.016335364546531613
company federal,-0.016330568310891278
lieu terminate,-0.01632819048297143
resign lieu terminate,-0.01632819048297143
94,-0.01632406681962534
retain security clearance,-0.016316927014408796
balance,-0.01631208777435841
external,-0.016304531673934062
money,-0.016292653323424996
24 2020,-0.016252477678400074
women,-0.016252477678400074
use eip,-0.016252477678400074
videotape,-0.016252477678400074
home,-0.016243818705886173
discharge,-0.016234309141227938
temporary,-0.01621014695174936
rank,-0.016195487617388198
dress,-0.016168486029919563
model pose,-0.01616772570156544
model pose scant,-0.01616772570156544
image home,-0.01616772570156544
prohibit use company,-0.01616772570156544
prohibit use,-0.01616772570156544
image home cell,-0.01616772570156544
erotica,-0.01616772570156544
2001 2015 use,-0.01616772570156544
2015 use,-0.01616772570156544
young girls age,-0.01616772570156544
young girls,-0.01616772570156544
2015 use company,-0.01616772570156544
computer upload,-0.01616772570156544
computer upload view,-0.01616772570156544
child erotica,-0.01616772570156544
woman young girls,-0.01616772570156544
allege applicant continue,-0.01616772570156544
clothing allege applicant,-0.01616772570156544
clothing allege,-0.01616772570156544
issue computer upload,-0.01616772570156544
pose scant clothing,-0.01616772570156544
sign document,-0.01616772570156544
11 15 model,-0.01616772570156544
age 11 15,-0.01616772570156544
e1,-0.01616772570156544
upload view,-0.01616772570156544
applicant arrest,-0.01616772570156544
pose scant,-0.01616772570156544
upload view save,-0.01616772570156544
similar image,-0.01616772570156544
applicant sign document,-0.01616772570156544
similar image home,-0.01616772570156544
scant,-0.01616772570156544
scant clothing,-0.01616772570156544
view save,-0.01616772570156544
nake woman young,-0.01616772570156544
15 model pose,-0.01616772570156544
girls age 11,-0.01616772570156544
applicant 2001 2015,-0.01616772570156544
sexual assault child,-0.01616772570156544
view similar image,-0.01616772570156544
applicant 2001,-0.01616772570156544
continue view similar,-0.01616772570156544
scant clothing allege,-0.01616772570156544
view save image,-0.01616772570156544
assault child,-0.01616772570156544
home cell phone,-0.01616772570156544
home cell,-0.01616772570156544
woman young,-0.01616772570156544
applicant intend,-0.016166337579544384
april 2016 applicant,-0.016157866717065053
affirm,-0.01612259587859405
equipment,-0.01609141102755977
personal conduct,-0.016083073277551357
53,-0.016070470807425054
applicant explain,-0.016050442423246224
trainings,-0.0160472998372909
material,-0.016046825242264078
minute,-0.016040126471305028
55 applicant,-0.016035695160615406
guideline sexual,-0.016034164475936745
guideline sexual behavior,-0.016034164475936745
questionnaire,-0.016021275718085298
company information security,-0.01599610319550831
monday june 13,-0.01599610319550831
june 13,-0.01599610319550831
insist,-0.01599610319550831
