feature,coef
extramarital affair dancer,-0.028058332839523293
strip club,-0.028058332839523293
family aware extramarital,-0.028058332839523293
dancer,-0.028058332839523293
strip club approximately,-0.028058332839523293
approximately months applicant,-0.028058332839523293
make monthly,-0.028058332839523293
make monthly payment,-0.028058332839523293
months applicant spouse,-0.028058332839523293
taxis tax,-0.028058332839523293
aware extramarital,-0.028058332839523293
hire escort,-0.028058332839523293
hire escort service,-0.028058332839523293
tax arrearage document,-0.028058332839523293
tax authority,-0.028058332839523293
extramarital affair,-0.028058332839523293
engage extramarital affair,-0.028058332839523293
pull,-0.028050807834676242
applicant fail report,-0.02802812052397575
cousin applicant,-0.028013126962823837
rub,-0.02800604663186598
country applicant,-0.027967603400912703
dcis cid,-0.02787287403592954
cid,-0.02787287403592954
examination applicant,-0.027778526608367382
contribute,-0.027759913764333077
material fact,-0.02772572399521708
aggravate incest,-0.027713997940743848
interview summary,-0.02770975894103899
affair,-0.027691546775052783
material,-0.02767045826046283
sor allege,-0.027666156199911494
yard,-0.02766606733815749
inform employer,-0.027660399665311065
neighbor granddaughter,-0.027651054332515634
applicant able,-0.027644379193405205
questionable behavior,-0.02764145566799308
clearance upgrade,-0.02764145566799308
touch breast,-0.02763219679249279
promise,-0.027618205175622353
years,-0.027614062207224094
swear,-0.027591764854670676
ae answer,-0.027568163725409756
admit sor allegation,-0.027543707031472662
information applicant,-0.027491839664536864
engage sexual activity,-0.02748838192054259
face,-0.027472694470081722
abuse,-0.027416297939737218
intoxication,-0.027394384740499145
lawyer,-0.027389789610753792
image female,-0.02738277826487455
advise,-0.027369548462177165
beer,-0.027364895345831843
credibility,-0.027306046983833144
girlfriend,-0.027280494649219517
currently,-0.02722803067404906
make following additional,-0.027207776166469293
following additional finding,-0.027207776166469293
following additional,-0.027207776166469293
voluntarily,-0.027203809690165493
applicant present,-0.02719464390018376
hire,-0.027183716629706756
floor,-0.027136772696556684
entirely,-0.027135619800906785
impulse,-0.027090318448787603
trust,-0.027074934421545654
underwear,-0.027015136512592162
tr 15 applicant,-0.02698790599077059
applicant read,-0.026981976618787
13,-0.026960078780885542
app,-0.02695007991618076
state applicant engage,-0.026947241433627908
applicant state applicant,-0.026935024800415656
workers,-0.02691752435036998
software,-0.02687656819125995
depression,-0.026874873192989392
ge,-0.026860493305880778
march,-0.026824496288166636
2003,-0.02680730906493545
felony,-0.02678299370135253
record evidence,-0.0267816366333822
applicant engage misconduct,-0.026749543215243397
engage misconduct,-0.026749543215243397
classify information,-0.02674421196239398
aske,-0.02667812880344962
plan,-0.02664674344493292
applicant ms,-0.026592428650931907
admit sor,-0.02657145001230041
rl,-0.026552299660017428
detective,-0.026526214994829996
student expose,-0.026482298550536243
army applicant,-0.02640870982533767
previous marriage,-0.02639025412451105
applicant drove,-0.026373237303275492
solicit,-0.026365470728485618
applicant currently,-0.026364592710055496
rating,-0.02636056133102999
sor applicant answer,-0.026204176890713603
13 applicant,-0.02618388626324028
tr 53,-0.026135062246847005
text message,-0.026116759838175078
subsequent,-0.02611498514648723
tests,-0.02608576052703604
15 year,-0.02606548960880388
15 year old,-0.02606548960880388
2010 november,-0.02605794991158874
consult,-0.02604889725806417
complete,-0.02603620152111499
accountable,-0.026022044467206344
continue view,-0.026003144387732685
applicant continue view,-0.026003144387732685
original,-0.0259989149133892
36 applicant,-0.025997549374326925
interview aga,-0.025922545320589147
questionable,-0.02586345918810552
nightclub,-0.02586150619290522
applicant believe,-0.0258396607672738
dc,-0.025837388554274764
tell polygraph examiner,-0.025837388554274764
tell polygraph,-0.025837388554274764
anime,-0.025837388554274764
